Id	Population	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24
la_11	la	6.563	16.89	3.701	20.078	3.266	22.255	2.437	24.728	3.733	27.823	4.821	31.26	8.274	34.852	12.753	23.126	15.832	25.023	12.597	26.796	14.401	28.818	17.185	30.824
la_12	la	2.631	19.022	4.078	22.664	5.822	24.439	7.658	25.668	10.258	26.758	13.558	27.957	18.617	27.163	11.425	16.889	15.13	15.395	14.694	18.928	17.216	18.57	20.329	17.309
la_13	la	3.708	24.868	5.376	28.125	7.573	29.48	9.505	30.244	12.387	31.132	16.189	31.506	20.677	30.228	11.811	20.801	15.301	18.495	15.363	22.406	17.794	21.674	21.534	19.493
la_14	la	5.026	14.126	4.328	18.073	5.126	20.229	6.421	22.068	7.959	24.304	10.796	26.729	15.457	28.045	13.698	15.981	17.677	16.139	15.331	19.262	17.296	19.912	21.466	20.261
la_15	la	10.272	10.13	6.333	11.186	5.656	12.761	5.388	14.636	5.199	17.378	5.467	19.694	7.105	22.908	13.092	15.771	14.951	17.63	12.037	18.26	12.856	19.883	14.747	22.199
la_46	la	5.182	31.935	7.429	35.542	9.524	36.368	12.0	36.796	14.691	37.102	18.421	36.903	22.915	34.289	12.214	27.41	15.088	24.429	16.036	28.159	18.085	26.982	20.897	24.245
la_48	la	3.375	17.936	4.589	21.718	5.922	23.485	7.89	25.314	10.231	27.113	13.487	28.895	18.897	29.004	13.533	17.098	17.843	15.936	16.261	19.904	19.207	19.904	22.664	19.269
la_50	la	4.463	12.04	2.929	15.666	3.347	17.82	4.122	19.973	5.206	22.701	7.267	25.784	11.637	28.109	12.784	15.914	16.317	16.812	13.434	19.23	15.542	20.593	19.633	21.802
la_78	la	8.797	16.489	6.556	19.237	6.817	21.725	7.431	23.659	8.414	25.977	10.102	29.033	14.309	31.735	15.568	19.928	19.713	21.08	16.75	23.199	19.207	24.765	22.492	25.916
la_80	la	5.625	9.997	3.949	13.93	4.528	16.312	5.61	18.255	7.161	20.84	9.449	23.442	14.4	25.698	13.288	13.006	17.315	13.538	15.011	16.5	17.017	17.503	20.809	18.224
la_101	la	3.972	12.595	2.278	15.839	2.532	18.101	3.275	20.348	4.32	22.627	6.503	25.759	10.316	28.196	12.373	16.266	15.57	17.136	12.579	19.699	14.921	21.139	17.462	22.041
la_102	la	4.342	11.583	3.166	15.799	3.824	18.041	4.639	20.125	6.034	22.774	8.589	25.611	13.573	27.335	13.26	14.89	16.192	15.407	14.702	18.37	16.332	19.451	20.454	20.392
la_105	la	3.647	11.226	3.0	15.521	4.074	17.479	5.179	19.263	6.647	21.552	9.363	24.079	14.81	25.5	11.668	12.821	15.979	12.884	13.8	16.216	16.121	16.863	20.447	17.194
la_126	la	4.556	15.397	3.488	18.838	3.975	20.943	4.855	23.08	6.536	25.72	8.814	28.642	12.899	30.983	13.339	18.414	17.691	19.074	14.91	21.666	17.785	23.033	21.1	23.85
or_465	or	7.039	17.736	6.55	21.393	7.56	23.245	9.029	24.959	11.186	26.856	14.079	28.478	18.636	29.228	14.813	17.981	18.088	17.307	17.001	20.643	19.174	20.827	23.061	20.515
or_466	or	4.26	16.889	4.336	20.194	5.367	21.967	6.534	23.726	8.626	25.697	11.492	27.44	15.873	28.501	11.658	16.873	15.418	16.373	14.372	19.678	17.252	19.951	20.239	19.754
or_467	or	5.954	16.281	6.015	19.857	7.09	21.637	8.563	23.279	10.68	24.998	13.611	26.716	18.583	27.269	13.872	15.499	17.693	14.333	16.68	18.031	19.151	18.123	22.665	17.31
or_468	or	4.35	15.588	2.167	17.988	1.656	19.892	1.502	21.981	1.533	24.582	2.322	27.585	5.387	31.084	9.211	20.108	13.22	22.539	10.201	24.071	12.074	26.084	15.077	28.328
